day,variable,value,notmyself,myself,sum
Mon,12:00,3.3,3.0,0.25,1432
Mon,13:00,4.0,3.8,0.25,1496
Mon,14:00,3.5,3.5,0.00,1382
Mon,15:00,4.3,4.3,0.00,1236
Mon,16:00,4.0,3.5,0.50,1355
Mon,17:00,4.0,4.0,0.00,1682
Mon,18:00,5.8,5.5,0.25,1531
Mon,19:00,5.8,5.8,0.00,1363
Mon,20:00,0.5,0.5,0.00,1650
Tue,12:00,4.0,4.0,0.00,1471
Tue,13:00,7.3,6.5,0.75,1108
Tue,14:00,3.3,2.0,1.25,1542
Tue,15:00,3.3,3.3,0.00,1541
Tue,16:00,3.8,2.8,1.00,1218
Tue,17:00,5.0,4.5,0.50,1307
Tue,18:00,5.0,5.0,0.00,1364
Tue,19:00,4.8,4.8,0.00,1342
Tue,20:00,1.5,1.5,0.00,1798
Wed,12:00,4.6,4.0,0.60,1717
Wed,13:00,3.4,3.4,0.00,1115
Wed,14:00,4.6,4.0,0.60,1407
Wed,15:00,5.2,4.6,0.60,1486
Wed,16:00,2.2,2.0,0.20,1407
Wed,17:00,6.2,5.6,0.60,1436
Wed,18:00,5.4,5.0,0.40,1357
Wed,19:00,6.4,6.0,0.40,1478
Wed,20:00,2.0,1.6,0.40,1534
Thu,12:00,4.8,4.0,0.80,1506
Thu,13:00,5.2,4.8,0.40,1371
Thu,14:00,5.4,5.2,0.20,1276
Thu,15:00,4.2,3.2,1.00,1523
Thu,16:00,6.2,5.6,0.60,1369
Thu,17:00,7.2,6.6,0.60,1510
Thu,18:00,7.6,7.4,0.20,1473
Thu,19:00,4.6,4.4,0.20,1411
Thu,20:00,2.0,1.8,0.20,1554
Fri,12:00,7.3,6.3,1.00,1941
Fri,13:00,5.0,4.5,0.50,1567
Fri,14:00,5.3,3.8,1.50,1700
Fri,15:00,5.0,4.3,0.75,1485
Fri,16:00,7.0,6.0,1.00,1490
Fri,17:00,6.8,6.0,0.75,1663
Fri,18:00,10.5,10.0,0.50,1505
Fri,19:00,5.5,5.0,0.50,1365
Fri,20:00,5.3,5.0,0.25,1578
Sat,12:00,5.0,4.3,0.75,1872
Sat,13:00,6.5,6.0,0.50,1558
Sat,14:00,6.8,6.5,0.25,1712
Sat,15:00,7.5,7.0,0.50,1605
Sat,16:00,7.5,6.8,0.75,1708
Sat,17:00,9.5,8.5,1.00,1441
Sat,18:00,10.8,10.5,0.25,1665
Sat,19:00,8.0,7.8,0.25,1391
Sat,20:00,4.3,4.3,0.00,1428
Sun,12:00,3.5,3.3,0.25,1519
Sun,13:00,5.3,3.8,1.50,1768
Sun,14:00,6.8,6.0,0.75,1483
Sun,15:00,7.0,6.0,1.00,1566
Sun,16:00,7.0,6.8,0.25,1502
Sun,17:00,7.8,7.5,0.25,1376
Sun,18:00,6.8,6.0,0.75,1564
Sun,19:00,6.0,5.3,0.75,1382
Sun,20:00,2.0,2.0,0.00,1645
