day,variable,value,notmyself,myself,sum,x
Mon,12:00,2.0,1.8,0.25,1432,2865
Mon,13:00,2.3,2.0,0.25,1496,3367
Mon,14:00,2.0,2.0,0.00,1382,2764
Mon,15:00,2.0,2.0,0.00,1236,2472
Mon,16:00,2.8,2.3,0.50,1355,3725
Mon,17:00,2.5,2.5,0.00,1682,4204
Mon,18:00,4.0,3.8,0.25,1531,6125
Mon,19:00,2.8,2.8,0.00,1363,3748
Mon,20:00,0.3,0.3,0.00,1650,413
Tue,12:00,2.0,2.0,0.00,1471,2943
Tue,13:00,2.3,1.5,0.75,1108,2493
Tue,14:00,1.8,0.5,1.25,1542,2698
Tue,15:00,1.8,1.8,0.00,1541,2696
Tue,16:00,1.0,0.0,1.00,1218,1218
Tue,17:00,2.3,1.8,0.50,1307,2941
Tue,18:00,2.8,2.8,0.00,1364,3751
Tue,19:00,2.5,2.5,0.00,1342,3354
Tue,20:00,1.3,1.3,0.00,1798,2247
Wed,12:00,3.0,2.4,0.60,1717,5150
Wed,13:00,1.4,1.4,0.00,1115,1561
Wed,14:00,2.2,1.6,0.60,1407,3096
Wed,15:00,3.4,2.8,0.60,1486,5054
Wed,16:00,1.4,1.2,0.20,1407,1970
Wed,17:00,3.8,3.2,0.60,1436,5456
Wed,18:00,3.0,2.6,0.40,1357,4070
Wed,19:00,4.8,4.4,0.40,1478,7097
Wed,20:00,1.2,0.8,0.40,1534,1841
Thu,12:00,2.6,1.8,0.80,1506,3915
Thu,13:00,2.8,2.4,0.40,1371,3840
Thu,14:00,2.6,2.4,0.20,1276,3318
Thu,15:00,2.8,1.8,1.00,1523,4263
Thu,16:00,3.0,2.4,0.60,1369,4106
Thu,17:00,4.8,4.2,0.60,1510,7249
Thu,18:00,5.2,5.0,0.20,1473,7658
Thu,19:00,3.2,3.0,0.20,1411,4515
Thu,20:00,1.6,1.4,0.20,1554,2486
Fri,12:00,4.3,3.3,1.00,1941,8251
Fri,13:00,3.3,2.8,0.50,1567,5094
Fri,14:00,3.3,1.8,1.50,1700,5525
Fri,15:00,3.3,2.5,0.75,1485,4827
Fri,16:00,5.5,4.5,1.00,1490,8197
Fri,17:00,6.0,5.3,0.75,1663,9977
Fri,18:00,7.8,7.3,0.50,1505,11667
Fri,19:00,4.0,3.5,0.50,1365,5462
Fri,20:00,2.8,2.5,0.25,1578,4340
Sat,12:00,3.8,3.0,0.75,1872,7018
Sat,13:00,3.3,2.8,0.50,1558,5063
Sat,14:00,5.5,5.3,0.25,1712,9416
Sat,15:00,6.3,5.8,0.50,1605,10030
Sat,16:00,5.3,4.5,0.75,1708,8966
Sat,17:00,5.8,4.8,1.00,1441,8283
Sat,18:00,7.5,7.3,0.25,1665,12491
Sat,19:00,5.0,4.8,0.25,1391,6955
Sat,20:00,3.0,3.0,0.00,1428,4283
Sun,12:00,1.5,1.3,0.25,1519,2278
Sun,13:00,4.3,2.8,1.50,1768,7512
Sun,14:00,3.5,2.8,0.75,1483,5190
Sun,15:00,5.5,4.5,1.00,1566,8610
Sun,16:00,4.5,4.3,0.25,1502,6758
Sun,17:00,4.8,4.5,0.25,1376,6534
Sun,18:00,4.3,3.5,0.75,1564,6647
Sun,19:00,3.8,3.0,0.75,1382,5183
Sun,20:00,1.8,1.8,0.00,1645,2879
