day,variable,value,notmyself,myself,sum
Mon,12:00,2.4,2.4,0.07,
Mon,13:00,1.8,1.6,0.11,
Mon,14:00,1.8,1.6,0.11,
Mon,15:00,1.8,1.7,0.04,
Mon,16:00,2.0,1.9,0.07,
Mon,17:00,2.3,2.3,0.07,
Mon,18:00,2.4,2.4,0.04,
Mon,19:00,2.5,2.5,0.04,
Mon,20:00,1.8,1.8,0.00,
Tue,12:00,2.5,2.4,0.11,
Tue,13:00,2.2,2.0,0.21,
Tue,14:00,1.6,1.5,0.18,
Tue,15:00,1.8,1.7,0.07,
Tue,16:00,2.3,2.1,0.18,
Tue,17:00,2.8,2.7,0.07,
Tue,18:00,2.9,2.9,0.00,
Tue,19:00,2.8,2.8,0.00,
Tue,20:00,2.4,2.4,0.00,
Wed,12:00,2.6,2.5,0.14,
Wed,13:00,2.3,2.3,0.04,
Wed,14:00,2.3,2.2,0.14,
Wed,15:00,1.7,1.6,0.11,
Wed,16:00,1.9,1.9,0.07,
Wed,17:00,3.3,3.1,0.11,
Wed,18:00,2.8,2.8,0.07,
Wed,19:00,3.4,3.3,0.11,
Wed,20:00,2.1,2.1,0.07,
Thu,12:00,2.5,2.3,0.18,
Thu,13:00,1.9,1.7,0.18,
Thu,14:00,2.3,2.3,0.04,
Thu,15:00,2.3,2.1,0.18,
Thu,16:00,2.7,2.5,0.18,
Thu,17:00,3.3,3.1,0.18,
Thu,18:00,4.4,4.4,0.04,
Thu,19:00,3.3,3.2,0.07,
Thu,20:00,2.5,2.4,0.07,
Fri,12:00,3.1,2.9,0.17,
Fri,13:00,2.5,2.4,0.10,
Fri,14:00,2.4,2.1,0.31,
Fri,15:00,2.8,2.5,0.24,
Fri,16:00,2.6,2.5,0.14,
Fri,17:00,4.0,3.8,0.17,
Fri,18:00,5.6,5.4,0.10,
Fri,19:00,5.6,5.5,0.10,
Fri,20:00,4.3,4.2,0.07,
Sat,12:00,2.5,2.3,0.21,
Sat,13:00,2.3,2.1,0.17,
Sat,14:00,3.2,3.1,0.14,
Sat,15:00,3.9,3.8,0.17,
Sat,16:00,4.2,4.0,0.21,
Sat,17:00,4.7,4.4,0.28,
Sat,18:00,5.1,5.0,0.10,
Sat,19:00,4.6,4.5,0.07,
Sat,20:00,3.8,3.7,0.07,
Sun,12:00,2.4,2.3,0.10,
Sun,13:00,2.7,2.4,0.31,
Sun,14:00,3.0,2.8,0.17,
Sun,15:00,3.5,3.2,0.31,
Sun,16:00,2.7,2.4,0.21,
Sun,17:00,3.8,3.7,0.07,
Sun,18:00,3.9,3.8,0.14,
Sun,19:00,3.7,3.6,0.14,
Sun,20:00,2.6,2.6,0.03,
